1,2
3,2
4,1
5,1
6,1
7,2
8,1
9,2
10,1
11,1
12,1
13,2
14,2
15,1
16,1
17,2
18,2
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,2
30,2
31,1
32,2
33,2
34,2
36,1
37,2
38,2
39,2
40,2
41,1
42,1
43,2
44,2
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,2
53,2
54,2
55,2
56,1
57,2
58,1
59,1
60,2
61,1
62,1
63,1
64,1
65,1
66,1
67,2
68,1
69,1
70,1
71,1
72,1
73,1
74,2
75,2
76,1
77,1
78,1
79,1
80,2
81,2
82,1
83,1
84,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,2
98,1
99,1
100,1
101,1
102,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
