1,3
3,3
4,2
5,1
6,1
7,3
8,2
9,3
10,1
11,1
12,1
13,3
14,3
15,1
16,1
17,3
18,3
20,1
21,1
22,2
23,1
24,2
25,2
26,1
27,1
28,1
29,3
30,3
31,1
32,3
33,3
34,3
36,1
37,3
38,3
39,3
40,3
41,2
42,1
43,3
44,3
45,2
46,2
47,1
48,2
49,1
50,2
51,1
52,3
53,3
54,3
55,3
56,1
57,3
58,1
59,1
60,3
61,2
62,1
63,2
64,1
65,1
66,2
67,3
68,1
69,1
70,1
71,1
72,1
73,1
74,3
75,3
76,1
77,1
78,1
79,1
80,3
81,3
82,1
83,1
84,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,3
98,1
99,1
100,1
101,1
102,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
