1,4
3,4
4,3
5,1
6,2
7,4
8,3
9,4
10,2
11,1
12,1
13,4
14,4
15,1
16,1
17,4
18,4
20,1
21,2
22,3
23,1
24,3
25,3
26,1
27,2
28,1
29,4
30,4
31,1
32,4
33,4
34,4
36,2
37,4
38,4
39,4
40,4
41,3
42,2
43,4
44,4
45,3
46,3
47,1
48,3
49,1
50,3
51,1
52,4
53,4
54,4
55,4
56,2
57,4
58,2
59,1
60,4
61,3
62,2
63,3
64,1
65,1
66,3
67,4
68,2
69,1
70,1
71,1
72,1
73,2
74,4
75,4
76,1
77,2
78,1
79,1
80,4
81,4
82,2
83,2
84,2
86,1
87,2
88,1
89,1
90,1
91,1
92,1
93,2
94,2
95,2
96,2
97,4
98,2
99,1
100,1
101,1
102,2
104,1
105,1
106,2
107,2
108,1
109,2
110,2
111,1
112,2
113,1
114,2
